Dish Number,재료명,재료,이미지1,이미지2,이미지3,이미지4,이미지5,이미지6,설명1,설명2,설명3,설명4,설명5,설명6,알러지 정보,칼로리,
11,소고기 김치찜,"소고기, 김치, 다진 마늘, 고춧가루, 간장, 대파, 양파, 마늘",http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/1.webp,http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/2.webp,http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/3.webp,http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/4.webp,http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/5.webp,http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/6.webp,냄비에 기름을 두르고 얇게 썬 소고기를 넣어 갈색이 될 때까지 볶습니다.,다진 김치를 냄비에 추가하여 소고기와 함께 볶아 풍미를 더합니다.,썰어 놓은 양파와 마늘을 넣어 김치와 소고기와 함께 볶습니다.,"고추장, 간장, 물을 추가하여 매콤하고 깊은 맛이 나는 육수를 만듭니다.",김치찜을 약불로 끓이면서 소고기가 부드러워지고 맛이 어우러지도록 익힙니다.,완성된 김치찜에 다진 파와 참깨를 뿌려 마무리합니다.,"소고기, 어류/갑각류(김치 속 해산물), 대두(간장)",약 450-500 kcal,"INSERT INTO test_recipe VALUES (11, '소고기 김치찜', '소고기, 김치, 다진 마늘, 고춧가루, 간장, 대파, 양파, 마늘', 'http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/1.webp', 'http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/2.webp', 'http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/3.webp', 'http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/4.webp', 'http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/5.webp', 'http://kkms4001.iptime.org:45211/static/11. 소고기 김치찜/6.webp', '냄비에 기름을 두르고 얇게 썬 소고기를 넣어 갈색이 될 때까지 볶습니다.', '다진 김치를 냄비에 추가하여 소고기와 함께 볶아 풍미를 더합니다.', '썰어 놓은 양파와 마늘을 넣어 김치와 소고기와 함께 볶습니다.', '고추장, 간장, 물을 추가하여 매콤하고 깊은 맛이 나는 육수를 만듭니다.', '김치찜을 약불로 끓이면서 소고기가 부드러워지고 맛이 어우러지도록 익힙니다.', '완성된 김치찜에 다진 파와 참깨를 뿌려 마무리합니다.', '소고기, 어류/갑각류(김치 속 해산물), 대두(간장)', '약 450-500 kcal');"
12,소고기 감자볶음,"소고기, 감자, 다진 마늘, 소금, 후추, 마늘, 양파",http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/1.webp,http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/2.webp,http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/3.webp,http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/4.webp,http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/5.webp,http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/6.webp,소고기를 얇게 썰어 소금과 후추로 간을 합니다.,감자를 얇게 썰어 준비합니다.,팬에 기름을 두르고 예열합니다.,팬에 소고기를 넣고 갈색이 될 때까지 볶습니다.,감자를 팬에 추가해 소고기와 함께 볶아 맛을 배게 합니다.,완성된 소고기 감자볶음을 그릇에 담고 파와 참깨를 뿌려 마무리합니다.,"소고기, 대두(간장), 참깨(참기름)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (12, '소고기 감자볶음', '소고기, 감자, 다진 마늘, 소금, 후추, 마늘, 양파', 'http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/12. 소고기 감자볶음/6.webp', '소고기를 얇게 썰어 소금과 후추로 간을 합니다.', '감자를 얇게 썰어 준비합니다.', '팬에 기름을 두르고 예열합니다.', '팬에 소고기를 넣고 갈색이 될 때까지 볶습니다.', '감자를 팬에 추가해 소고기와 함께 볶아 맛을 배게 합니다.', '완성된 소고기 감자볶음을 그릇에 담고 파와 참깨를 뿌려 마무리합니다.', '소고기, 대두(간장), 참깨(참기름)', '약 350-400 kcal');"
13,소고기 떡국,"소고기, 떡, 국간장, 대파, 후추, 마늘, 양파",http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/1.webp,http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/2.webp,http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/3.webp,http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/4.webp,http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/5.webp,http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/6.webp,소고기를 얇게 썰어 소금과 후추로 간을 합니다.,냄비에 기름을 약간 두르고 양념한 소고기를 넣어 갈색이 나도록 볶습니다.,"물, 다진 마늘, 간장을 추가해 육수를 만듭니다.",떡을 육수에 넣어 부드럽게 익힙니다.,대파와 계란을 넣어 국물에 계란이 풀어지도록 합니다.,완성된 떡국을 그릇에 담고 참깨와 김가루로 장식하여 마무리합니다.,"소고기, 대두(간장), 밀(떡), 참깨(참기름)",약 450-500 kcal,"INSERT INTO test_recipe VALUES (13, '소고기 떡국', '소고기, 떡, 국간장, 대파, 후추, 마늘, 양파', 'http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/1.webp', 'http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/2.webp', 'http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/3.webp', 'http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/4.webp', 'http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/5.webp', 'http://kkms4001.iptime.org:45211/static/13. 소고기 떡국/6.webp', '소고기를 얇게 썰어 소금과 후추로 간을 합니다.', '냄비에 기름을 약간 두르고 양념한 소고기를 넣어 갈색이 나도록 볶습니다.', '물, 다진 마늘, 간장을 추가해 육수를 만듭니다.', '떡을 육수에 넣어 부드럽게 익힙니다.', '대파와 계란을 넣어 국물에 계란이 풀어지도록 합니다.', '완성된 떡국을 그릇에 담고 참깨와 김가루로 장식하여 마무리합니다.', '소고기, 대두(간장), 밀(떡), 참깨(참기름)', '약 450-500 kcal');"
14,소고기 대파전,"소고기, 대파, 밀가루, 소금, 물, 식용유, 양파",http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/1.webp,http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/2.webp,http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/3.webp,http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/4.webp,http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/5.webp,http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/6.webp,소고기를 얇게 썰어 소금과 후추로 간을 합니다.,"밀가루와 물, 소금을 섞어 반죽을 만듭니다.",준비된 대파와 양념한 소고기를 반죽에 넣어 고루 섞어줍니다.,팬에 기름을 두르고 반죽을 팬에 부어 둥근 모양으로 펼칩니다.,가장자리가 노릇해지면 뒤집어 반대쪽도 노릇하게 익힙니다.,완성된 대파전을 접시에 담고 참깨로 장식하여 제공합니다.,"소고기, 대두(간장), 밀(부침가루 등), 계란, 참깨(참기름)",약 300-350 kcal,"INSERT INTO test_recipe VALUES (14, '소고기 대파전', '소고기, 대파, 밀가루, 소금, 물, 식용유, 양파', 'http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/1.webp', 'http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/2.webp', 'http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/3.webp', 'http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/4.webp', 'http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/5.webp', 'http://kkms4001.iptime.org:45211/static/14. 소고기 대파전/6.webp', '소고기를 얇게 썰어 소금과 후추로 간을 합니다.', '밀가루와 물, 소금을 섞어 반죽을 만듭니다.', '준비된 대파와 양념한 소고기를 반죽에 넣어 고루 섞어줍니다.', '팬에 기름을 두르고 반죽을 팬에 부어 둥근 모양으로 펼칩니다.', '가장자리가 노릇해지면 뒤집어 반대쪽도 노릇하게 익힙니다.', '완성된 대파전을 접시에 담고 참깨로 장식하여 제공합니다.', '소고기, 대두(간장), 밀(부침가루 등), 계란, 참깨(참기름)', '약 300-350 kcal');"
15,소고기 김치 감자볶음,"소고기, 김치, 감자, 간장, 고춧가루, 마늘, 대파",http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/1.webp,http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/2.webp,http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/3.webp,http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/4.webp,http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/5.webp,http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/6.webp,소고기를 얇게 썰어 소금과 후추로 간을 합니다.,감자를 얇게 슬라이스하여 준비합니다.,팬에 기름을 두르고 소고기를 갈색이 나도록 볶아줍니다.,소고기에 감자와 김치를 추가하여 고루 섞으며 볶습니다.,"고추장, 간장, 물을 약간 넣어 양념이 고루 배도록 잘 섞습니다.",요리가 완성되면 참깨로 장식하여 맛있게 즐길 준비를 합니다.,"소고기, 어류/갑각류(김치 속 해산물), 대두(간장)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (15, '소고기 김치 감자볶음', '소고기, 김치, 감자, 간장, 고춧가루, 마늘, 대파', 'http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/1.webp', 'http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/2.webp', 'http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/3.webp', 'http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/4.webp', 'http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/5.webp', 'http://kkms4001.iptime.org:45211/static/15. 소고기 김치 감자볶음/6.webp', '소고기를 얇게 썰어 소금과 후추로 간을 합니다.', '감자를 얇게 슬라이스하여 준비합니다.', '팬에 기름을 두르고 소고기를 갈색이 나도록 볶아줍니다.', '소고기에 감자와 김치를 추가하여 고루 섞으며 볶습니다.', '고추장, 간장, 물을 약간 넣어 양념이 고루 배도록 잘 섞습니다.', '요리가 완성되면 참깨로 장식하여 맛있게 즐길 준비를 합니다.', '소고기, 어류/갑각류(김치 속 해산물), 대두(간장)', '약 400-450 kcal');"
16,소고기 떡갈비,"소고기, 떡, 간장, 설탕, 다진 마늘, 참기름, 마늘, 대파",http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/1.webp,http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/2.webp,http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/3.webp,http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/4.webp,http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/5.webp,http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/6.webp,"다진 소고기를 볼에 담아 소금, 후추, 다진 마늘로 밑간합니다.","양파, 간장, 설탕을 추가해 고루 섞습니다.",손으로 잘 섞어 고기 반죽을 부드럽고 끈기 있게 만듭니다.,고기 반죽을 작은 둥근 패티 모양으로 만들어 준비합니다.,팬에 기름을 두르고 패티를 한쪽 면이 노릇해질 때까지 굽습니다.,완성된 떡갈비를 접시에 담고 참깨와 파를 뿌려 마무리합니다.,"소고기, 대두(간장), 밀(부침가루 또는 빵가루), 계란, 참깨(참기름)",약 350-400 kcal,"INSERT INTO test_recipe VALUES (16, '소고기 떡갈비', '소고기, 떡, 간장, 설탕, 다진 마늘, 참기름, 마늘, 대파', 'http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/1.webp', 'http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/2.webp', 'http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/3.webp', 'http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/4.webp', 'http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/5.webp', 'http://kkms4001.iptime.org:45211/static/16. 소고기 떡갈비/6.webp', '다진 소고기를 볼에 담아 소금, 후추, 다진 마늘로 밑간합니다.', '양파, 간장, 설탕을 추가해 고루 섞습니다.', '손으로 잘 섞어 고기 반죽을 부드럽고 끈기 있게 만듭니다.', '고기 반죽을 작은 둥근 패티 모양으로 만들어 준비합니다.', '팬에 기름을 두르고 패티를 한쪽 면이 노릇해질 때까지 굽습니다.', '완성된 떡갈비를 접시에 담고 참깨와 파를 뿌려 마무리합니다.', '소고기, 대두(간장), 밀(부침가루 또는 빵가루), 계란, 참깨(참기름)', '약 350-400 kcal');"
17,소고기 양파 덮밥,"소고기, 양파, 간장, 설탕, 후추, 밥, 양파, 대파",http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/1.webp,http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/2.webp,http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/3.webp,http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/4.webp,http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/5.webp,http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/6.webp,소고기를 얇게 썰어 소금과 후추로 밑간을 합니다.,양파를 얇게 슬라이스하여 준비합니다.,팬에 기름을 두르고 소고기를 중불에서 갈색이 나도록 볶아줍니다.,볶은 소고기에 양파를 추가해 부드러워질 때까지 함께 볶습니다.,간장과 설탕을 넣어 양념이 잘 배도록 중불에서 조리합니다.,완성된 소고기 양파 볶음을 밥 위에 얹고 참깨와 다진 파로 장식하여 제공합니다.,"소고기, 대두(간장), 참깨(참기름)",약 450-500 kcal,"INSERT INTO test_recipe VALUES (17, '소고기 양파 덮밥', '소고기, 양파, 간장, 설탕, 후추, 밥, 양파, 대파', 'http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/1.webp', 'http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/2.webp', 'http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/3.webp', 'http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/4.webp', 'http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/5.webp', 'http://kkms4001.iptime.org:45211/static/17. 소고기 양파 덮밥/6.webp', '소고기를 얇게 썰어 소금과 후추로 밑간을 합니다.', '양파를 얇게 슬라이스하여 준비합니다.', '팬에 기름을 두르고 소고기를 중불에서 갈색이 나도록 볶아줍니다.', '볶은 소고기에 양파를 추가해 부드러워질 때까지 함께 볶습니다.', '간장과 설탕을 넣어 양념이 잘 배도록 중불에서 조리합니다.', '완성된 소고기 양파 볶음을 밥 위에 얹고 참깨와 다진 파로 장식하여 제공합니다.', '소고기, 대두(간장), 참깨(참기름)', '약 450-500 kcal');"
18,소고기 마늘 스튜,"소고기, 마늘, 소금, 후추, 물, 양파",http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/1.webp,http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/2.webp,http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/3.webp,http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/4.webp,http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/5.webp,http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/6.webp,"소고기를 한 입 크기로 깍둑썰기 한 후, 소금과 후추로 간을 합니다.",냄비에 기름을 약간 두르고 소고기를 넣어 겉면이 갈색이 되도록 고루 볶습니다.,얇게 썬 마늘과 양파를 냄비에 넣어 함께 볶습니다.,"육수와 간장, 설탕 약간을 추가하여 스튜의 국물을 만듭니다.",중약불로 줄여 고기가 부드러워질 때까지 끓입니다.,완성된 스튜를 그릇에 담고 다진 파와 참깨로 장식하여 고소함을 더합니다.,"소고기, 대두(간장), 참깨(참기름)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (18, '소고기 마늘 스튜', '소고기, 마늘, 소금, 후추, 물, 양파', 'http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/1.webp', 'http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/2.webp', 'http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/3.webp', 'http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/4.webp', 'http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/5.webp', 'http://kkms4001.iptime.org:45211/static/18. 소고기 마늘 스튜/6.webp', '소고기를 한 입 크기로 깍둑썰기 한 후, 소금과 후추로 간을 합니다.', '냄비에 기름을 약간 두르고 소고기를 넣어 겉면이 갈색이 되도록 고루 볶습니다.', '얇게 썬 마늘과 양파를 냄비에 넣어 함께 볶습니다.', '육수와 간장, 설탕 약간을 추가하여 스튜의 국물을 만듭니다.', '중약불로 줄여 고기가 부드러워질 때까지 끓입니다.', '완성된 스튜를 그릇에 담고 다진 파와 참깨로 장식하여 고소함을 더합니다.', '소고기, 대두(간장), 참깨(참기름)', '약 400-450 kcal');"
19,닭고기 김치찜,"닭고기, 김치, 다진 마늘, 고춧가루, 간장",http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/1.webp,http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/2.webp,http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/3.webp,http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/4.webp,http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/5.webp,http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/6.webp,닭고기를 소금과 후추로 간합니다.,냄비에 닭고기와 잘게 썬 김치를 넣고 함께 볶아 풍미를 끌어올립니다.,얇게 썬 양파와 다진 마늘을 추가해 향이 잘 배도록 볶습니다.,"고추장, 간장, 물을 약간 넣어 매콤한 국물을 만듭니다.",국물이 졸아들고 닭고기가 부드럽게 익을 때까지 끓입니다.,"완성된 김치찜을 그릇에 담고, 파와 참깨를 뿌려 장식합니다.","닭고기, 어류/갑각류(김치 속 해산물), 대두(간장)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (19, '닭고기 김치찜', '닭고기, 김치, 다진 마늘, 고춧가루, 간장', 'http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/1.webp', 'http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/2.webp', 'http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/3.webp', 'http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/4.webp', 'http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/5.webp', 'http://kkms4001.iptime.org:45211/static/19. 닭고기 김치찜/6.webp', '닭고기를 소금과 후추로 간합니다.', '냄비에 닭고기와 잘게 썬 김치를 넣고 함께 볶아 풍미를 끌어올립니다.', '얇게 썬 양파와 다진 마늘을 추가해 향이 잘 배도록 볶습니다.', '고추장, 간장, 물을 약간 넣어 매콤한 국물을 만듭니다.', '국물이 졸아들고 닭고기가 부드럽게 익을 때까지 끓입니다.', '완성된 김치찜을 그릇에 담고, 파와 참깨를 뿌려 장식합니다.', '닭고기, 어류/갑각류(김치 속 해산물), 대두(간장)', '약 400-450 kcal');"
20,닭고기 김치 감자조림,"닭고기, 김치, 감자, 간장, 고춧가루, 대파, 마늘, 양파, 떡",http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/1.webp,http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/2.webp,http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/3.webp,http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/4.webp,http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/5.webp,http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/6.webp,닭고기를 소금과 후추로 간해 준비합니다.,잘게 썬 김치와 감자를 냄비에 추가하여 닭고기와 함께 조리하기 시작합니다.,다진 마늘과 양파를 넣어 풍미를 더하고 함께 볶습니다.,"고추장, 간장, 약간의 물을 넣어 매콤한 국물을 만듭니다.",닭고기가 부드러워질 때까지 끓여가며 국물이 농축되도록 조리합니다.,완성된 조림을 그릇에 담아 파와 참깨로 마무리하여 맛을 더합니다.,"닭고기, 어류/갑각류(김치 속 해산물), 대두(간장)",약 400-450 kcal,"INSERT INTO test_recipe VALUES (20, '닭고기 김치 감자조림', '닭고기, 김치, 감자, 간장, 고춧가루, 대파, 마늘, 양파, 떡', 'http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/1.webp', 'http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/2.webp', 'http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/3.webp', 'http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/4.webp', 'http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/5.webp', 'http://kkms4001.iptime.org:45211/static/20. 닭고기 김치 감자조림/6.webp', '닭고기를 소금과 후추로 간해 준비합니다.', '잘게 썬 김치와 감자를 냄비에 추가하여 닭고기와 함께 조리하기 시작합니다.', '다진 마늘과 양파를 넣어 풍미를 더하고 함께 볶습니다.', '고추장, 간장, 약간의 물을 넣어 매콤한 국물을 만듭니다.', '닭고기가 부드러워질 때까지 끓여가며 국물이 농축되도록 조리합니다.', '완성된 조림을 그릇에 담아 파와 참깨로 마무리하여 맛을 더합니다.', '닭고기, 어류/갑각류(김치 속 해산물), 대두(간장)', '약 400-450 kcal');"
21,닭고기 대파 구이,"닭고기, 대파, 소금, 후추, 양파",http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/1.webp,http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/2.webp,http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/3.webp,http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/4.webp,http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/5.webp,http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/6.webp,닭고기를 소금과 후추로 간합니다.,대파를 길게 썰어 준비합니다.,기름을 약간 두른 그릴 팬에 닭고기를 올려 구우면서 겉면을 갈색으로 만듭니다.,대파를 그릴 팬에 닭고기 옆에 추가해 함께 익힙니다.,닭고기와 대파를 뒤집어 반대쪽도 갈색이 나도록 굽습니다.,구운 닭고기와 대파를 접시에 담고 참깨로 장식하여 마무리합니다.,"닭고기, 대두(간장), 참깨(참기름)",약 300-350 kcal,"INSERT INTO test_recipe VALUES (21, '닭고기 대파 구이', '닭고기, 대파, 소금, 후추, 양파', 'http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/1.webp', 'http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/2.webp', 'http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/3.webp', 'http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/4.webp', 'http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/5.webp', 'http://kkms4001.iptime.org:45211/static/21. 닭고기 대파 구이/6.webp', '닭고기를 소금과 후추로 간합니다.', '대파를 길게 썰어 준비합니다.', '기름을 약간 두른 그릴 팬에 닭고기를 올려 구우면서 겉면을 갈색으로 만듭니다.', '대파를 그릴 팬에 닭고기 옆에 추가해 함께 익힙니다.', '닭고기와 대파를 뒤집어 반대쪽도 갈색이 나도록 굽습니다.', '구운 닭고기와 대파를 접시에 담고 참깨로 장식하여 마무리합니다.', '닭고기, 대두(간장), 참깨(참기름)', '약 300-350 kcal');"
22,닭고기 마늘 튀김,"닭고기, 마늘, 소금, 후추, 식용유, 대파, 떡",http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/1.webp,http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/2.webp,http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/3.webp,http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/4.webp,http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/5.webp,http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/6.webp,"닭고기를 소금, 후추, 다진 마늘로 간해 준비합니다.",간을 한 닭고기에 밀가루를 묻혀 준비합니다.,밀가루를 묻힌 닭고기를 계란물에 담가 코팅합니다.,계란물을 묻힌 닭고기를 빵가루에 골고루 묻혀 튀길 준비를 합니다.,뜨거운 기름에 닭고기를 넣고 바삭하게 튀기며 노릇한 색이 나도록 합니다.,"완성된 마늘 닭튀김을 접시에 담고, 파와 참깨로 장식하여 제공할 준비를 합니다.","닭고기, 대두(간장), 밀(튀김옷), 계란",약 450-500 kcal,"INSERT INTO test_recipe VALUES (22, '닭고기 마늘 튀김', '닭고기, 마늘, 소금, 후추, 식용유, 대파, 떡', 'http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/1.webp', 'http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/2.webp', 'http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/3.webp', 'http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/4.webp', 'http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/5.webp', 'http://kkms4001.iptime.org:45211/static/22. 닭고기 마늘 튀김/6.webp', '닭고기를 소금, 후추, 다진 마늘로 간해 준비합니다.', '간을 한 닭고기에 밀가루를 묻혀 준비합니다.', '밀가루를 묻힌 닭고기를 계란물에 담가 코팅합니다.', '계란물을 묻힌 닭고기를 빵가루에 골고루 묻혀 튀길 준비를 합니다.', '뜨거운 기름에 닭고기를 넣고 바삭하게 튀기며 노릇한 색이 나도록 합니다.', '완성된 마늘 닭튀김을 접시에 담고, 파와 참깨로 장식하여 제공할 준비를 합니다.', '닭고기, 대두(간장), 밀(튀김옷), 계란', '약 450-500 kcal');"
